FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
St_Petersburg,Pinellas_Beaches,71713.8313481828,2629.44429206848
Pasco Other,Pinellas_Beaches,1392.7126673162,94.5871646404266
New_Port_Richey,Pinellas_Beaches,24.5639200210571,0
Hernando Other,Pinellas_Beaches,1103.16340592568,1278.97535454528
Hillsborough Other,Clearwater,75522.9875779592,2381.13596129417
Tampa,Clearwater,24760.9832448796,1851.12329101563
USF  Hosp  Busch,Clearwater,1767.27569979429,212.949678421021
Plant City,Clearwater,694.222076892853,81.9314517974854
Pinellas Other,Clearwater,484376.876617758,19320.8393008709
Pinellas_Beaches,Clearwater,83608.7871486402,4210.39293479919
Clearwater,Clearwater,779816.540335548,41830.8828697205
St_Petersburg,Clearwater,49336.8934575513,1728.3339214325
Pasco Other,Clearwater,3314.1913634917,205.068839907646
New_Port_Richey,Clearwater,43.295436501503,0
Hernando Other,Clearwater,1992.21573084191,1871.34847033105
Hillsborough Other,St_Petersburg,213488.046595324,5777.17922568321
Tampa,St_Petersburg,55333.1531760474,3331.54695546627
USF  Hosp  Busch,St_Petersburg,5249.69270375185,343.97901725769
Plant City,St_Petersburg,1347.37247633934,73.7123155593872
Pinellas Other,St_Petersburg,775696.83073836,23874.3396558762
Pinellas_Beaches,St_Petersburg,73765.3237701299,2531.1490278244
Clearwater,St_Petersburg,49196.0258139654,1916.78705787659
St_Petersburg,St_Petersburg,2595325.62435558,82374.1678818464
Pasco Other,St_Petersburg,74095.1857250906,2196.08141458035
New_Port_Richey,St_Petersburg,587.454260841012,36.1261715888977
Hernando Other,St_Petersburg,6870.67673586449,6703.84028963
Hillsborough Other,Pasco Other,110921.675688341,3788.28131771088
Tampa,Pasco Other,69229.7403007348,2277.69607868791
USF  Hosp  Busch,Pasco Other,12628.882583553,456.485609650612
Plant City,Pasco Other,6585.85757352412,286.982473373413
Pinellas Other,Pasco Other,285226.773828925,8710.00906142593
Pinellas_Beaches,Pasco Other,1401.61324772239,79.9727825522423
Clearwater,Pasco Other,3435.29213125072,140.873425841332
St_Petersburg,Pasco Other,74988.2249383894,2268.42245481908
Pasco Other,Pasco Other,3070866.45317639,121137.653185129
New_Port_Richey,Pasco Other,62336.5317875966,1588.12206083536
Hernando Other,Pasco Other,43678.2574291243,16683.3090094614
Hillsborough Other,New_Port_Richey,3894.36144316942,155.684060096741
Tampa,New_Port_Richey,2910.15412710304,122.884490013123
USF  Hosp  Busch,New_Port_Richey,588.802854537964,8.18546581268311
Plant City,New_Port_Richey,319.047641277313,24.577579498291
Pinellas Other,New_Port_Richey,17382.0155773289,557.617907524109
Pinellas_Beaches,New_Port_Richey,24.322033087723,0
Clearwater,New_Port_Richey,96.315643787384,8.19086647033691
St_Petersburg,New_Port_Richey,843.486510634422,16.3784170150757
Pasco Other,New_Port_Richey,63745.9253130704,1647.48405075073
New_Port_Richey,New_Port_Richey,44460.1156414896,1368.93840312958
Hernando Other,New_Port_Richey,545.212149091298,475.888421220356
Hillsborough Other,Hernando Other,46808.8239992398,39751.0737273725
Tampa,Hernando Other,10750.0907294367,19564.5417442622
USF  Hosp  Busch,Hernando Other,1105.21441311738,3638.51166699926
Plant City,Hernando Other,9183.53679241578,10258.7643700388
Pinellas Other,Hernando Other,14108.1558682611,14674.4168458672
Pinellas_Beaches,Hernando Other,1213.25982981984,1295.35363518493
Clearwater,Hernando Other,1890.81869000633,1863.15760386072
St_Petersburg,Hernando Other,6846.54204534134,6564.63229421526
Pasco Other,Hernando Other,45269.5374974678,16799.8738385129
New_Port_Richey,Hernando Other,569.796980329091,475.888421220356
Hernando Other,Hernando Other,67018.3562979881,38366.3880152693
